timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/02/13 05:48:44.114, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:48:54.116, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:49:04.118, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:49:14.119, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:49:24.121, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:49:34.123, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:49:44.125, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:49:54.127, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:50:04.129, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:50:14.131, 0, Tesla V100S-PCIE-32GB, 43 %, 472 MiB, 32768 MiB
2026/02/13 05:50:24.132, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:50:34.134, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:50:44.135, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:50:54.141, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:51:04.143, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:51:14.144, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:51:24.146, 0, Tesla V100S-PCIE-32GB, 28 %, 472 MiB, 32768 MiB
2026/02/13 05:51:34.148, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:51:44.152, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:51:54.153, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:52:04.155, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:52:14.157, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:52:24.158, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:52:34.159, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:52:44.161, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:52:54.166, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
